"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"29c900c4-16b4-45ef-b688-061ed0fe8bd4","American Brewing Company","closed","180 W Dayton St Ste 102","null","null","Edmonds","Washington","98020-4127","United States","null","null","4257741717","http://www.americanbrewing.com","Washington","180 W Dayton St Ste 102"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"7d0a71c4-cec0-431b-be2f-d125a9b9a44b","Alvarado Street Brewery","micro","1315 Dayton St Ste E","null","null","Salinas","California","93901-4400","United States","-121.6305329","36.64880356","null","null","California","1315 Dayton St Ste E"
"08bf17d8-5f8f-40bc-88cb-5661f0791b35","Alvarado Street Brewery & Grill","brewpub","426 Alvarado St","null","null","Monterey","California","93940-2711","United States","-121.8946096","36.59857755","8316552337","null","California","426 Alvarado St"
"15ccd19e-e5bc-4216-939f-3d3348fb6d5c","Alvarium Beer Company","micro","365 John Downey Dr Ste B","null","null","New Britain","Connecticut","06051-2922","United States","null","null","8603572039","http://www.alvariumbeer.com","Connecticut","365 John Downey Dr Ste B"
"a649a8d5-f59e-4007-bf75-e1609ef76467","Amador Brewing Company","micro","9659 Main St","null","null","Plymouth","California","95669-9570","United States","-120.849271","38.4808723","2095071900","http://www.amadorbrewing.com","California","9659 Main St"
"1a6103ad-023a-4710-988f-17e47a6732c2","Amalgam Brewing","proprietor","6381 Beach St Unit A","null","null","Denver","Colorado","80221-2036","United States","null","null","null","http://www.amalgambrewing.com","Colorado","6381 Beach St Unit A"
"97ea0a56-c25b-45ab-afaa-ff0b37d68de5","Amani Brewing","brewpub","654 Ropp Dr","null","null","Martinsburg","West Virginia","25403-1533","United States","-77.949602","39.5332966","3042793861","https://amanibrewing.com","West Virginia","654 Ropp Dr"
"5306cc0f-35c0-4168-b49b-ea965437dc8e","Ambacht Brewing","micro","1060 NE 25th Ave Ste B","null","null","Hillsboro","Oregon","97124-4903","United States","-122.9564737","45.53275124","5038281400","http://www.ambacht.us","Oregon","1060 NE 25th Ave Ste B"
"5fffcb8c-fbca-4633-8ef4-7bfd7dd6d473","Amber Lantern Brewing Company","brewpub","44 N Main St","null","null","Warsaw","New York","14569-1326","United States","-78.132363","42.7408423","5857863559","http://www.amberlanternbrewingcompany.com","New York","44 N Main St"
"a580bbc1-343c-4213-968d-6f332755f739","Ambitious Ales","planning","null","null","null","Long Beach","California","90807-2907","United States","-118.1580493","33.78538945","7142962550","http://www.ambitiousales.com","California","null"
"f02ee574-d02d-486f-8d2e-851ad54b25ab","Amelia Island Brewing Company","brewpub","318 Centre St","null","null","Fernandina Beach","Florida","32034-4241","United States","-81.46236272","30.67106045","9043106088","http://www.theameliatavern.com","Florida","318 Centre St"
"5e4e7f13-1e56-4715-b575-37522b595062","American Badass Beer","contract","1401 Abbott St Corktown","null","null","Detroit","Michigan","48216-1946","United States","null","null","null","http://www.americanbadassbeer.com","Michigan","1401 Abbott St Corktown"
"2b3bdfe8-47fd-4105-939e-57c9864e83b4","American Brewers Inc","micro","3408 Miller Rd","null","null","Kalamazoo","Michigan","49001-4111","United States","-85.5378194","42.26671998","2692171920","http://www.americanbrewers.us","Michigan","3408 Miller Rd"
"29c900c4-16b4-45ef-b688-061ed0fe8bd4","American Brewing Company","closed","180 W Dayton St Ste 102","null","null","Edmonds","Washington","98020-4127","United States","null","null","4257741717","http://www.americanbrewing.com","Washington","180 W Dayton St Ste 102"
"5128df48-79fc-4f0f-8b52-d06be54d0cec","(405) Brewing Co","micro","1716 Topeka St","null","null","Norman","Oklahoma","73069-8224","United States","-97.46818222","35.25738891","4058160490","http://www.405brewing.com","Oklahoma","1716 Topeka St"
"9c5a66c8-cc13-416f-a5d9-0a769c87d318","(512) Brewing Co","micro","407 Radam Ln Ste F200","null","null","Austin","Texas","78745-1197","United States","null","null","5129211545","http://www.512brewing.com","Texas","407 Radam Ln Ste F200"
"34e8c68b-6146-453f-a4b9-1f6cd99a5ada","1 of Us Brewing Company","micro","8100 Washington Ave","null","null","Mount Pleasant","Wisconsin","53406-3920","United States","-87.88336350209435","42.72010826899558","2624847553","https://www.1ofusbrewing.com","Wisconsin","8100 Washington Ave"
"ef970757-fe42-416f-931d-722451f1f59c","10 Barrel Brewing Co","large","1501 E St","null","null","San Diego","California","92101-6618","United States","-117.129593","32.714813","6195782311","http://10barrel.com","California","1501 E St"
"6d14b220-8926-4521-8d19-b98a2d6ec3db","10 Barrel Brewing Co","large","62970 18th St","null","null","Bend","Oregon","97701-9847","United States","-121.281706","44.08683531","5415851007","http://www.10barrel.com","Oregon","62970 18th St"
"e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2","10 Barrel Brewing Co","large","1135 NW Galveston Ave Ste B","null","null","Bend","Oregon","97703-2465","United States","-121.3288021","44.0575649","5415851007","null","Oregon","1135 NW Galveston Ave Ste B"
"e432899b-7f58-455f-9c7b-9a6e2130a1e0","10 Barrel Brewing Co","large","1411 NW Flanders St","null","null","Portland","Oregon","97209-2620","United States","-122.6855056","45.5259786","5032241700","http://www.10barrel.com","Oregon","1411 NW Flanders St"
"9f1852da-c312-42da-9a31-097bac81c4c0","10 Barrel Brewing Co - Bend Pub","large","62950 NE 18th St","null","null","Bend","Oregon","97701","United States","-121.2809536","44.0912109","5415851007","null","Oregon","62950 NE 18th St"
"ea4f30c0-bce6-416b-8904-fab4055a7362","10 Barrel Brewing Co - Boise","large","826 W Bannock St","null","null","Boise","Idaho","83702-5857","United States","-116.202929","43.618516","2083445870","http://www.10barrel.com","Idaho","826 W Bannock St"
"1988eb86-f0a2-4674-ba04-02454efa0d31","10 Barrel Brewing Co - Denver","large","2620 Walnut St","null","null","Denver","Colorado","80205-2231","United States","-104.9853655","39.7592508","7205738992","null","Colorado","2620 Walnut St"
"1ecc330f-6275-42a5-b14e-00adbed62752","10 Torr Distilling and Brewing","micro","490 Mill St","null","null","Reno","Nevada","89502","United States","-119.7732015","39.5171702","7755307014","http://www.10torr.com","Nevada","490 Mill St"
"7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3","10-56 Brewing Company","micro","400 Brown Cir","null","null","Knox","Indiana","46534","United States","-86.627954","41.289715","6308165790","null","Indiana","400 Brown Cir"
"03118499-a3d0-4c22-860d-4529509ae095","101 Brewery","brewpub","294793 US Highway 101","null","null","Quilcene","Washington","98376-9000","United States","-122.8755823","47.82347577","3607656485","http://www.101brewery.com","Washington","294793 US Highway 101"
"5ae467af-66dc-4d7f-8839-44228f89b596","101 North Brewing Company","closed","1304 Scott St Ste D","null","null","Petaluma","California","94954-7100","United States","-122.665055","38.27029381","7077534934","http://www.101northbeer.com","California","1304 Scott St Ste D"
"4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a","105 West Brewing Co","micro","1043 Park St","null","null","Castle Rock","Colorado","80109-1585","United States","-104.8667206","39.38269495","3033257321","http://www.105westbrewing.com","Colorado","1043 Park St"
"42aa37d5-8384-4ffe-8c81-7c982eff0384","10K Brewing","micro","2005 2nd Ave","null","null","Anoka","Minnesota","55303-2243","United States","-93.38952559","45.19812039","7633924753","http://10KBrew.com","Minnesota","2005 2nd Ave"
"232e8f62-9afc-45f5-b4bc-582c26b5c43b","10th District Brewing Company","micro","491 Washington St","null","null","Abington","Massachusetts","02351-2419","United States","-70.94594149","42.10591754","7813071554","http://www.10thdistrictbrewing.com","Massachusetts","491 Washington St"
"08f78223-24f8-4b71-b381-ea19a5bd82df","11 Below Brewing Company","micro","6820 Bourgeois Rd","null","null","Houston","Texas","77066-3107","United States","-95.5186591","29.9515464","2814442337","http://www.11belowbrewing.com","Texas","6820 Bourgeois Rd"
"58293321-14ae-49d7-9a7b-08436c9e63a6","1188 Brewing Co","brewpub","141 E Main St","null","null","John Day","Oregon","97845-1210","United States","-118.9218754","44.4146563","5415751188","http://www.1188brewing.com","Oregon","141 E Main St"
"e5f3e72a-fee2-4813-82cf-f2e53b439ae6","12 Acres Brewing Company","micro","Unnamed Street","Clonmore","null","Killeshin","Laois","R93 X3X8","Ireland","-6.979343891","52.84930763","353599107299","https://12acresbrewing.ie/","Laois","Unnamed Street"
"d81ff708-b5d2-478f-af6a-6d40f5beb9ac","12 Gates Brewing Company","brewpub","80 Earhart Dr Ste 20","null","null","Williamsville","New York","14221-7804","United States","null","null","7169066600","http://www.12gatesbrewing.com","New York","80 Earhart Dr Ste 20"
"fb94830f-6196-4f59-9189-c9060b778085","12 West Brewing Company","micro","3000 E Ray Rd Bldg 6","null","null","Gilbert","Arizona","85296-7832","United States","null","null","6023395014","http://www.12westbrewing.com","Arizona","3000 E Ray Rd Bldg 6"
"0faa0fb2-fffa-416d-9eab-46f67477c8ef","12 West Brewing Company - Production Facility","micro","null","null","null","Mesa","Arizona","85207","United States","-111.5860662","33.436188","null","null","Arizona","null"
"e54c2f02-acd6-4172-861d-fcfa54c8701a","122 West Brewing Co","closed","2416 Meridian St","null","null","Bellingham","Washington","98225-2405","United States","-122.485982","48.7621709","3603063285","https://www.122westbrew.com/","Washington","2416 Meridian St"
"d5cb896d-3e99-4e19-9693-5e06ce987e53","127 Brewing","micro","3090 Shirley Dr","null","null","Jackson","Michigan","49201-7010","United States","-84.43116792","42.28667212","5172581346","null","Michigan","3090 Shirley Dr"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"06e9fffb-e820-45c9-b107-b52b51013e8f","12Degree Brewing","brewpub","820 Main St","null","null","Louisville","Colorado","80027-1865","United States","-105.1319826","39.9782443","3035791004","http://www.12degree.com","Colorado","820 Main St"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"50521ef7-f543-4c5d-98b1-0d0ee1a2be01","12welve Eyes Brewing","micro","141 E 4th St Ste LL2","null","null","Saint Paul","Minnesota","55101-1639","United States","null","null","6514938106","http://www.12welveEyes.com","Minnesota","141 E 4th St Ste LL2"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"950180bd-29c9-46b3-ad0c-e6f09799ec7f","13 Below Brewery","micro","7391 Forbes Rd","null","null","Cincinnati","Ohio","45233-1013","United States","-84.70634815","39.12639764","5139750613","http://www.13belowbrewery.com","Ohio","7391 Forbes Rd"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"45119c56-345b-4adc-b481-c5cf7bfe98c4","13 Stripes Brewery","brewpub","250 Mill St, Suite PW3101","null","null","Taylors","South Carolina","29687","United States","null","null","8643491430","http://www.13StripesBrewery.com","South Carolina","250 Mill St, Suite PW3101"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"936c3d7e-5d54-4459-b72c-117cdda059b4","13 Virtues Brewing Co","brewpub","6410 SE Milwaukie Ave","null","null","Portland","Oregon","97202-5518","United States","-122.6487531","45.4762536","5032393831","http://www.13virtuesbrewing.com","Oregon","6410 SE Milwaukie Ave"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"5c53b314-ebab-4e3e-89be-e4139d9318ae","1323 R & D","micro","1323 Capital Blvd 1323 R and D","null","null","Raleigh","North Carolina","27603-1117","United States","null","null","9199775654","http://www.1323rnd.com","North Carolina","1323 Capital Blvd 1323 R and D"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"4788221a-a03b-458c-9084-4cadd69ade6d","14 Cannons Brewing Company","micro","31125 Via Colinas Ste 907","null","null","Westlake Village","California","91362-3974","United States","-118.802397","34.15334","8186996165","http://14cannons.com","California","31125 Via Colinas Ste 907"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"b7b68d22-5045-4501-b9bf-ec94946eaffc","14 Lakes Brewery","micro","null","null","null","Crosslake","Minnesota","56442","United States","null","null","2186924129","null","Minnesota","null"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"4b677b60-fef1-42e2-90ef-dadc1bd7fb06","14er Brewing Company","proprietor","2801 Walnut St","null","null","Denver","Colorado","80205-2235","United States","-104.9839636","39.7614112","7207731437","http://www.14erBrewing.com","Colorado","2801 Walnut St"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"6c53984f-fac1-4ea7-9c44-44e25897c71a","14th Star Brewing","micro","133 N Main St Ste 7","null","null","Saint Albans","Vermont","05478-1735","United States","null","null","8025285988","http://www.14thstarbrewing.com","Vermont","133 N Main St Ste 7"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
"85192a9c-58a4-48c3-bd9d-496d09d22aa3","16 Lots Brewing","brewpub","753 Reading Rd","null","null","Mason","Ohio","45040-1303","United States","-84.3183801","39.3545967","5134863672","http://www.16lots.com","Ohio","753 Reading Rd"
"id","name","brewery_type","address_1","address_2","address_3","city","state_province","postal_code","country","longitude","latitude","phone","website_url","state","street"
